daren,your,you,more,hanks,to,thank,ect,ii,hou,subject,and,http,gas,attached,ali,hpl,enron,forwarded,farmer,of,aren,a,forward,soft,meter,thanks,Prediction
0,2,3,0,1,5,1,1,0,1,0,3,0,0,1,0,0,0,0,0,5,0,41,0,0,0,1,0
0,1,5,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1
0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,2,0,0
0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,30,0,0,0,0,0
0,0,1,0,1,8,1,5,0,1,1,1,0,1,1,0,0,3,1,0,1,0,35,1,0,0,1,0
0,0,0,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,18,0,0,0,0,1
0,0,1,0,1,4,1,2,0,0,1,3,0,0,1,0,0,3,1,0,5,0,48,1,0,0,1,0
0,0,1,0,0,5,0,1,0,0,0,4,0,0,0,0,1,0,0,0,3,0,35,0,0,0,0,0
0,1,2,0,0,2,0,1,0,0,0,1,0,0,0,2,0,0,0,0,2,0,33,0,0,0,0,1
5,1,7,0,1,25,2,19,0,8,3,2,0,12,0,0,15,0,1,4,12,5,262,1,0,0,1,0
0,0,0,0,1,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0,2,0,14,0,0,0,1,0
0,0,1,0,1,14,1,28,0,13,2,10,0,4,1,0,0,9,2,0,7,0,145,2,0,0,1,0
0,1,2,0,0,3,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1
7,1,8,0,1,28,2,29,0,13,5,3,0,12,0,0,18,0,1,6,12,7,292,1,0,0,1,0
0,0,2,0,0,25,1,40,0,19,2,9,0,4,0,0,0,11,2,0,12,0,185,2,0,0,0,0
0,0,0,0,0,7,0,2,0,0,1,2,0,0,0,0,0,4,1,1,0,0,42,1,0,0,0,0
0,0,0,0,0,44,0,9,0,1,0,9,0,1,0,2,0,0,0,0,3,3,517,0,0,2,0,1
0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,0
0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,1,0,3,1,1,9,0,4,1,2,0,0,1,0,0,1,1,0,0,0,53,1,0,3,1,0
0,0,1,0,0,3,0,2,0,2,0,2,0,1,0,0,3,0,0,0,1,0,33,0,0,0,0,0
0,0,1,0,1,4,1,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,36,0,0,0,1,0
0,3,3,0,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,22,0,1,0,0,1
0,1,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,2,4,0,0,7,0,4,0,0,0,3,0,0,0,0,1,0,0,0,3,0,52,0,0,0,0,0
0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
0,0,0,0,0,6,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,20,0,0,0,0,0
0,2,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0
1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,0,0,0,0,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,2,2,1,0,0,0,8,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
1,2,5,0,1,12,1,12,0,4,1,5,0,0,1,0,1,3,1,1,7,1,95,1,0,0,1,0
0,0,3,0,1,4,1,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,24,0,0,0,1,0
0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,1
1,0,1,0,0,10,0,3,0,0,1,2,0,0,0,0,0,3,1,0,0,1,35,1,0,0,0,0
0,0,0,0,0,3,0,3,0,0,2,0,0,0,1,0,0,3,2,0,1,0,13,2,0,0,0,0
0,0,0,0,0,1,0,3,0,0,1,0,0,0,1,0,0,1,1,0,0,0,27,1,0,0,0,0
0,0,1,0,0,3,0,3,0,0,1,2,0,0,1,0,0,2,1,0,1,0,18,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,20,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,1
0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
4,1,15,0,6,18,6,48,0,23,9,2,0,18,0,1,0,0,6,2,2,4,203,6,0,19,6,0
0,0,0,0,1,6,1,5,0,0,1,0,0,0,0,0,4,4,1,0,1,0,29,1,0,4,1,0
7,1,17,0,6,21,6,54,0,26,10,5,0,19,0,1,0,0,7,3,2,7,232,7,0,20,6,0
0,0,0,0,0,9,0,4,0,0,1,0,0,0,0,0,0,3,1,1,1,0,43,1,0,0,0,0
0,0,2,0,0,2,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,0,17,0,0,0,0,1
0,0,0,0,0,2,0,3,0,0,1,1,0,0,1,0,0,2,1,0,0,0,14,1,0,0,0,0
0,3,3,0,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,14,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,1,3,1,2,0,0,1,2,0,0,1,0,0,2,1,1,0,0,31,1,0,0,1,0
0,8,13,0,0,14,0,7,0,0,0,6,0,1,3,3,0,0,0,0,11,0,133,0,0,0,0,0
0,1,4,1,0,14,0,4,0,2,0,5,0,1,1,4,0,0,0,0,10,0,107,0,0,0,0,0
8,1,22,0,8,24,8,63,0,30,12,5,0,21,0,1,0,0,8,4,3,8,264,8,0,22,8,0
0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,1,0,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
0,2,4,1,0,3,0,1,0,1,0,2,1,0,0,1,0,0,0,0,6,0,50,0,1,0,0,1
3,0,0,0,2,5,2,3,0,0,1,1,0,0,1,0,0,2,0,1,0,3,17,0,0,0,2,0
0,0,2,0,0,7,0,9,0,5,1,0,0,0,0,0,23,1,1,0,1,0,99,1,0,0,0,0
0,0,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0
1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,1,0
0,0,1,1,0,6,0,4,0,2,1,1,0,0,0,0,1,0,1,0,2,0,33,1,0,0,0,0
0,0,1,0,0,1,1,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,27,1,0,0,0,0
0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0
2,0,0,1,3,5,3,10,0,4,2,1,0,0,0,0,0,2,2,1,0,2,66,2,0,0,3,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,1,0,0
0,0,1,0,0,3,0,3,0,0,0,2,0,0,0,0,5,0,0,0,2,0,22,0,0,0,0,0
0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,6,0,14,0,3,0,0,1
1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15,0,0,1,1,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
0,1,3,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,14,0,0,0,0,1
0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,1,0,0
0,0,2,0,0,4,1,2,0,0,0,3,1,0,0,0,0,0,0,0,5,0,33,0,0,0,0,1
0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1
1,3,6,3,1,13,1,7,0,6,2,12,0,1,0,1,0,2,2,0,7,1,141,2,0,0,1,0
0,0,3,4,0,58,0,19,1,3,0,40,0,0,0,1,0,0,0,0,52,0,499,4,0,2,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
1,0,0,1,0,27,0,178,0,85,1,21,0,6,0,1,0,36,1,1,10,2,301,1,0,0,0,0
0,0,0,0,1,2,1,2,0,0,1,3,0,0,1,0,0,1,1,0,3,0,19,1,0,0,1,0
0,0,0,0,0,4,0,5,0,0,2,0,0,2,1,0,0,3,2,0,1,0,28,2,0,0,0,0
0,11,17,0,0,24,1,4,0,6,0,11,3,0,0,6,0,0,0,0,23,0,222,1,0,0,0,1
0,0,1,0,1,3,1,3,0,0,1,1,0,0,1,0,0,2,1,0,1,0,26,1,0,0,1,0
0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,1,1
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,0,0,3,0,0
0,0,0,0,0,16,0,5,0,0,2,0,0,0,0,0,1,6,1,2,2,0,76,6,0,0,0,0
0,3,12,1,0,3,0,1,1,0,0,5,1,0,0,0,0,0,0,0,12,0,58,0,7,0,0,1
0,0,0,0,0,8,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,89,0,0,0,0,1
1,0,0,0,1,2,1,2,0,0,1,1,0,1,0,0,0,3,1,1,0,1,29,1,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,18,0,0,0,0,0
0,1,6,0,0,7,0,1,6,0,0,1,0,0,0,1,0,0,0,0,8,0,114,0,0,0,0,1
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,1
1,0,0,0,1,2,0,4,0,0,1,0,0,3,0,0,6,8,0,1,0,1,30,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,6,0,0,0,0,0
1,0,0,0,1,2,0,5,0,0,1,0,0,0,0,0,3,10,0,1,0,1,25,0,0,0,0,0
0,0,2,2,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,0,14,0,0,0,0,1
0,0,1,0,0,2,0,2,1,0,0,0,0,1,0,3,0,0,0,0,1,0,97,0,0,0,0,1
0,0,1,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0
4,0,1,0,1,6,1,8,0,2,2,1,0,0,0,0,0,1,0,2,2,4,45,0,0,3,1,0
0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,66,0,0,1,0,1
0,0,2,0,1,2,1,3,1,1,1,2,0,0,0,0,0,1,1,0,0,0,25,1,0,0,1,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,2,1,0,0,0,12,1,0,0,0,0
0,0,0,0,1,8,1,10,0,4,1,5,0,2,0,0,2,4,0,0,1,0,54,0,0,3,1,0
0,0,0,0,0,2,0,2,0,0,0,2,1,0,0,1,0,0,0,0,2,0,15,0,0,0,0,1
0,0,3,0,1,3,2,5,0,2,1,1,0,0,0,0,0,0,1,0,0,0,26,1,0,0,1,0
1,0,1,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,18,0,0,2,0,0
0,0,0,0,1,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35,0,0,1,1,0
0,3,3,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
0,1,3,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,9,0,0,0,0,0
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,1
0,0,1,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,0,0,2,0,33,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,2,7,2,16,0,9,1,6,0,1,1,0,0,2,0,0,2,0,56,0,0,1,2,0
0,1,8,0,0,4,1,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,32,0,0,0,0,1
0,0,0,0,0,6,0,4,0,1,0,12,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0
1,0,0,0,0,4,0,1,0,1,0,0,0,4,0,1,2,0,0,0,4,2,65,0,0,3,0,0
0,0,0,0,0,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
0,4,8,1,1,6,1,2,0,2,0,0,0,0,0,0,0,0,0,0,3,0,35,0,0,0,1,0
0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,22,0,0,0,0,1
0,1,2,0,0,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,13,0,0,0,0,1
1,1,7,1,2,5,3,12,0,5,3,1,0,0,0,0,0,1,2,2,0,1,49,2,0,1,2,0
0,0,1,0,2,16,2,9,0,2,4,2,0,8,1,0,0,36,4,0,0,0,92,4,0,8,2,0
0,1,7,6,2,12,3,29,0,13,4,5,0,11,2,1,2,5,3,0,1,0,97,3,0,7,2,0
1,0,0,0,0,5,0,1,0,1,0,0,0,4,0,1,2,0,0,0,4,2,68,0,0,3,0,0
0,0,0,0,0,14,0,3,5,0,0,6,1,0,0,0,0,0,0,0,2,0,238,0,0,1,0,1
7,3,13,0,3,28,3,48,0,21,7,22,0,7,0,2,3,4,3,4,2,7,275,4,0,26,3,0
1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,0
1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,3,9,0,0,6,0,2,0,4,0,4,0,0,0,2,0,0,0,0,3,0,53,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,7,0,0,0,0,0
0,1,2,0,1,28,1,9,0,2,1,17,0,0,0,3,0,0,0,0,28,1,224,0,0,0,1,1
0,0,13,2,0,30,0,1,0,1,0,4,0,0,0,1,0,0,0,0,4,0,120,0,1,0,0,0
0,0,0,0,0,2,0,4,0,0,1,0,0,0,1,0,0,1,1,0,0,0,15,1,0,0,0,0
0,0,0,0,0,3,0,3,0,2,1,1,0,0,0,0,0,1,1,0,1,0,23,1,0,0,0,0
0,1,3,1,0,2,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1
0,1,3,0,2,24,2,76,0,33,4,6,0,0,0,0,0,12,1,0,5,0,149,1,0,0,2,0
2,8,13,0,0,18,0,55,0,25,1,6,0,1,3,3,0,9,1,1,13,2,168,1,0,0,0,0
2,0,3,0,0,5,1,5,0,2,1,2,0,0,0,0,0,0,2,1,3,2,32,2,0,0,0,0
0,3,3,0,1,3,1,2,0,0,0,3,0,0,0,1,0,1,0,0,1,0,18,0,0,0,1,0
0,2,6,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,1,7,1,10,0,3,1,2,0,3,0,0,1,2,0,0,1,0,44,0,0,1,1,0
0,0,1,0,1,3,1,5,0,0,1,0,0,3,1,0,0,1,1,0,1,0,16,1,0,0,1,0
0,0,0,0,1,3,1,5,0,0,1,0,0,0,1,0,0,1,1,0,0,0,12,1,0,0,1,0
0,1,1,0,1,2,1,3,0,0,1,2,0,0,2,0,0,1,1,0,3,0,25,1,0,0,1,0
0,1,3,1,0,11,0,2,0,0,0,3,0,0,0,2,0,0,0,0,1,1,145,0,0,0,0,1
1,0,3,0,1,3,1,3,1,1,1,2,0,0,0,0,0,1,1,0,0,1,30,1,0,0,1,0
0,0,1,0,0,5,0,2,2,0,0,4,0,0,0,2,0,0,0,0,2,1,111,0,0,0,0,1
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,2,1,1,0,0,0,12,1,0,0,0,0
0,0,0,0,1,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,16,0,0,0,1,0
10,4,18,0,5,33,5,62,0,27,9,30,0,7,0,2,3,4,3,6,4,10,324,4,0,26,5,0
0,0,0,0,0,20,0,3,0,0,0,18,0,1,0,0,8,0,0,0,8,1,115,0,0,12,0,0
1,0,1,0,0,21,0,36,0,16,1,18,0,1,1,0,8,6,1,1,9,3,148,1,0,12,0,0
1,0,1,0,1,22,1,35,0,15,1,18,0,1,0,0,8,6,0,1,11,3,146,0,0,12,1,0
2,4,15,2,0,24,0,102,0,54,1,9,0,1,2,4,0,7,1,2,13,2,218,2,0,0,0,0
0,4,8,1,0,5,1,3,0,0,0,2,2,0,0,2,0,0,0,0,0,0,71,0,0,1,0,1
0,2,7,0,2,7,2,11,0,5,2,1,0,0,0,0,0,2,2,0,4,0,56,2,0,0,2,0
1,3,3,0,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,16,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,1,3,1,3,20,3,13,0,6,2,5,0,0,0,0,0,4,2,0,1,0,88,2,0,0,3,0
0,0,1,0,1,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0
0,0,1,0,0,1,0,5,0,0,1,0,0,0,1,0,0,1,1,0,3,0,24,1,0,0,0,0
0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,0,0,1
0,1,3,0,0,12,0,1,0,2,0,6,0,1,1,0,3,0,0,0,5,0,56,1,0,0,0,0
0,12,18,0,0,14,0,3,0,0,0,10,0,0,0,0,0,0,0,0,7,0,68,1,0,0,0,1
1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,1,0
0,3,4,1,0,4,0,1,0,0,0,0,4,0,0,0,0,0,0,0,1,0,34,0,0,0,0,1
1,0,1,0,2,6,2,5,0,1,1,2,0,0,0,0,0,2,0,0,2,1,31,0,0,0,2,0
0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1
0,0,1,1,0,26,0,7,0,1,0,29,0,0,0,1,2,2,0,0,9,0,201,0,0,0,0,0
0,0,0,0,1,3,1,7,0,1,1,1,0,0,0,0,0,2,0,0,2,0,33,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0
0,0,1,0,1,1,1,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,5,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,4,0,0,0,0,0
0,2,2,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,3,0,16,0,0,0,0,1
0,0,0,0,1,2,1,5,0,0,1,2,0,0,1,0,0,1,1,0,0,0,11,1,0,0,1,0
0,6,8,0,0,8,0,5,1,1,0,4,1,0,0,0,0,0,0,0,3,0,219,0,0,0,0,1
0,2,4,0,1,9,1,1,0,1,0,8,0,0,0,0,0,0,0,0,5,0,61,0,0,0,1,0
0,2,2,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,15,0,0,0,1,0
1,8,20,0,2,57,2,95,0,45,5,24,0,0,0,3,0,17,2,1,18,1,330,2,0,0,2,0
0,0,0,0,0,3,0,3,0,2,1,2,0,0,1,0,0,1,1,0,1,0,18,1,0,0,0,0
0,0,0,1,0,4,0,1,1,0,0,1,0,0,0,2,0,0,0,0,4,0,52,0,0,0,0,1
0,0,0,0,0,8,0,4,0,0,0,3,0,0,0,3,0,0,0,0,16,0,65,0,3,0,0,1
0,0,0,0,1,2,1,2,0,0,0,1,0,0,1,0,4,0,0,0,0,0,10,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,0
0,0,0,1,0,5,0,4,0,0,1,1,0,0,2,0,0,1,1,0,0,0,32,1,0,1,0,0
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0,0,0,0,1
0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,1
0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1
0,3,5,1,0,3,1,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,18,0,1,0,0,1
0,0,0,0,0,2,0,4,0,1,1,1,0,0,0,0,0,1,1,0,0,0,15,1,0,0,0,0
0,0,1,0,1,4,1,4,0,0,1,0,0,0,1,0,0,1,1,0,3,0,34,1,0,1,1,0
0,0,2,0,1,4,1,6,0,0,1,3,0,1,1,0,0,1,1,0,1,0,27,1,0,0,1,0
0,3,8,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,40,1,0,0,0,1
0,0,0,0,0,3,0,2,0,0,1,1,0,0,0,0,0,1,1,0,0,0,14,1,0,0,0,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,2,1,0,0,0,12,1,0,0,0,0
1,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,15,0,0,0,1,0
0,1,3,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,1,0,107,0,1,0,0,1
0,3,4,0,0,4,1,2,0,0,0,2,0,0,1,0,0,0,0,0,1,0,50,0,0,0,0,0
0,0,0,2,1,19,1,2,0,4,0,9,0,0,0,1,0,0,0,0,12,0,125,0,2,0,1,1
2,0,1,0,2,5,2,4,0,2,1,0,0,0,0,1,0,1,1,1,0,2,52,1,0,0,2,0
0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0
0,0,0,0,0,8,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,113,0,0,0,0,1
0,0,1,0,1,3,1,2,0,0,1,4,0,0,0,0,0,1,1,0,2,0,30,1,0,0,1,0
0,0,2,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,6,0,0,0,0,6,0,0,0,0,0
0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,1,1,0,0,0,19,1,0,0,0,0
1,0,0,0,1,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,1,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,2,1,0,0,0,12,1,0,0,0,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,1,0,0,2,1,0,0,0,11,1,0,0,0,0
0,6,6,0,0,8,0,1,0,0,0,0,2,0,0,4,0,0,0,0,11,0,62,0,0,0,0,0
0,2,10,1,0,10,1,1,0,0,0,5,1,0,0,1,0,0,0,0,11,0,94,0,1,0,0,0
0,2,7,0,1,10,2,1,0,0,0,5,0,0,0,2,0,1,0,0,8,0,53,0,0,0,1,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
0,1,4,0,0,6,0,2,0,0,0,2,0,1,0,2,0,0,0,0,3,0,146,0,0,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,27,0,7,6,1,0,4,1,0,0,2,0,0,0,0,2,0,296,0,0,1,0,1
1,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,1,1,0
0,0,3,0,0,2,0,1,0,1,0,3,1,0,0,0,0,0,0,0,1,0,13,0,0,0,0,1
1,0,0,0,1,6,1,4,0,1,1,2,0,0,0,0,6,3,1,0,2,1,39,1,0,8,1,0
0,0,1,0,1,5,1,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0
0,1,2,0,0,3,0,2,0,2,0,6,1,0,0,0,0,0,0,0,2,0,55,0,0,0,0,1
0,0,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,16,0,0,1,1,0
0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,5,1,0,0,0,0
0,3,5,1,0,7,0,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0,48,0,0,0,0,1
0,6,12,1,0,17,0,8,1,2,2,8,1,0,0,2,0,0,0,0,8,0,160,0,2,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,5,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0
1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0
1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1,0,0
0,1,1,4,0,4,0,3,0,0,0,4,1,0,0,1,0,0,0,0,1,0,26,0,0,0,0,1
1,0,1,0,3,10,3,19,0,11,3,4,0,4,0,0,10,4,2,0,5,1,93,2,0,12,3,0
